product_category,Product_Subcategory,Quantity,Unit_Price,Price,Tax,Payment_mode,Reviews,Income,city,Return,total_price,tax_ratio
Home and kitchen,Tools,5,1343,6715,705.075,Credit Card,4.0,152024.0,Pune,0,7420.075,0.1049843656938654
Bags,Women,5,1351,6755,709.275,Debit Card,3.0,83078.0,Mumbai,0,7464.275,0.10498445825932504
Bags,Mens,4,274,1096,115.08,Mobile Payments,3.0,89274.0,Mumbai,0,1211.08,0.10490428441203281
Footwear,Mens,3,1134,3402,357.21,Debit Card,5.0,32711.0,Kolkata,0,3759.21,0.10496914487217161
Bags,Mens,2,801,1602,168.21,Mobile Payments,4.0,145638.0,Kolkata,0,1770.21,0.10493449781659389
Clothing,Women,5,580,2900,304.5,Debit Card,4.0,37777.0,New Delhi,0,3204.5,0.10496380558428128
Clothing,Mens,2,500,1000,105.0,Mobile Payments,4.0,89962.0,Kolkata,0,1105.0,0.1048951048951049
Footwear,Mens,1,815,815,85.575,Mobile Payments,4.0,110157.0,Pune,0,900.575,0.10487132352941177
Electronics,Mobiles,5,1208,6040,634.2,Credit Card,1.0,61966.0,Pune,1,6674.2,0.10498261877172654
Home and kitchen,Furnishing,5,1235,6175,648.375,Credit Card,3.0,64262.0,Pune,1,6823.375,0.10498299870466321
Electronics,Computers,4,1126,4504,472.92,Debit Card,5.0,30042.0,Bangalore,0,4976.92,0.10497669256381799
Home and kitchen,Kitchen,1,439,439,46.095,Mobile Payments,5.0,65369.0,Hyderabad,0,485.095,0.10476136363636364
Books,DIY,5,1089,5445,343.035,Debit Card,3.0,113643.0,Hyderabad,1,5788.035,0.06298843187660669
Home and kitchen,Kitchen,5,402,2010,168.84,Cash,1.0,140076.0,Chennai,1,2178.84,0.08395822973644954
Home and kitchen,Kitchen,2,1383,2766,290.43,Credit Card,5.0,90068.0,Ahmedabad,0,3056.43,0.10496205276472714
Clothing,Women,4,273,1092,114.66,Mobile Payments,5.0,125967.0,Bangalore,0,1206.66,0.10490393412625801
Footwear,Women,5,1033,5165,542.325,Credit Card,5.0,128336.0,Bangalore,0,5707.325,0.10497967479674798
Clothing,Women,1,889,889,93.345,Mobile Payments,3.0,142164.0,Ahmedabad,0,982.345,0.10488202247191011
Clothing,Women,5,433,2165,227.325,Debit Card,5.0,147946.0,New Delhi,0,2392.325,0.10495152354570636
Footwear,Kids,4,811,3244,340.62,Debit Card,4.0,51061.0,Pune,0,3584.62,0.10496764252696457
Footwear,Women,3,1284,3852,404.46,Debit Card,5.0,126644.0,New Delhi,0,4256.46,0.10497274850765637
Footwear,Mens,3,285,855,89.775,Cash,5.0,80882.0,Gurgaon,0,944.775,0.10487733644859813
Clothing,Mens,3,1061,3183,334.215,Debit Card,4.0,117430.0,Chennai,0,3517.215,0.10496702261306531
Books,DIY,2,1330,2660,279.3,Credit Card,2.0,133053.0,Kolkata,0,2939.3,0.10496054114994363
Electronics,Mobiles,3,1057,3171,332.955,Debit Card,5.0,8185.0,Gurgaon,0,3503.955,0.10496689785624211
Footwear,Kids,3,1202,3606,378.63,Credit Card,4.0,99319.0,Gurgaon,0,3984.63,0.1049708899362351
Footwear,Kids,5,268,1340,140.7,Mobile Payments,2.0,40625.0,Chennai,0,1480.7,0.10492170022371364
Books,DIY,2,1014,2028,212.94,Debit Card,3.0,120137.0,Vishakhapatnam,0,2240.94,0.10494825036964021
Clothing,Women,2,288,576,60.48,Mobile Payments,5.0,132911.0,New Delhi,0,636.48,0.10481802426343154
Books,DIY,2,188,376,39.48,Mobile Payments,5.0,35008.0,Mumbai,0,415.48,0.10472148541114057
Footwear,Women,3,762,2286,240.03,Credit Card,3.0,101010.0,Vishakhapatnam,0,2526.03,0.10495408832531701
Footwear,Kids,5,920,4600,96.6,Mobile Payments,1.0,115127.0,New Delhi,1,4696.6,0.020995435774831556
Bags,Mens,2,1325,2650,278.25,Credit Card,5.0,111532.0,New Delhi,0,2928.25,0.10496039230479065
Clothing,Mens,1,173,173,18.165,Cash,4.0,148687.0,Mumbai,0,191.165,0.10439655172413792
Clothing,Mens,4,512,2048,107.52,Mobile Payments,3.0,118618.0,Chennai,1,2155.52,0.05247437774524158
Home and kitchen,Bath,5,615,3075,322.875,Debit Card,3.0,92015.0,Ahmedabad,0,3397.875,0.10496586475942783
Home and kitchen,Furnishing,3,1388,4164,437.22,Credit Card,5.0,146726.0,Vishakhapatnam,0,4601.22,0.1049747899159664
Home and kitchen,Bath,5,605,3025,317.625,Debit Card,2.0,80241.0,Gurgaon,0,3342.625,0.10496530072703239
Home and kitchen,Bath,3,847,2541,266.805,Debit Card,1.0,77299.0,Chennai,0,2807.805,0.10495869394177813
Home and kitchen,Tools,4,765,3060,321.3,Credit Card,3.0,50763.0,Gurgaon,0,3381.3,0.1049656974844822
Clothing,Women,1,707,707,74.235,Mobile Payments,5.0,121880.0,Bangalore,0,781.235,0.10485169491525424
Bags,Women,3,1175,3525,370.125,Debit Card,5.0,129552.0,Pune,0,3895.125,0.10497022121384005
Footwear,Kids,3,1018,3054,320.67,Debit Card,5.0,46171.0,Hyderabad,0,3374.67,0.10496563011456629
Home and kitchen,Kitchen,5,642,3210,337.05,Debit Card,5.0,149633.0,Pune,0,3547.05,0.10496729990657117
Home and kitchen,Tools,1,900,900,94.5,Mobile Payments,4.0,143684.0,Mumbai,0,994.5,0.1048834628190899
Electronics,Personal Appliances,5,1184,5920,621.6,Debit Card,2.0,128927.0,Mumbai,0,6541.6,0.10498226650903564
Books,Academic,3,793,2379,249.795,Debit Card,3.0,86854.0,Kolkata,0,2628.795,0.10495588235294118
Clothing,Mens,3,1410,4230,444.15,Credit Card,5.0,42991.0,Ahmedabad,0,4674.15,0.10497518317182698
Electronics,Cameras,5,361,1805,189.525,Cash,5.0,83786.0,Vishakhapatnam,0,1994.525,0.10494186046511628
Electronics,Mobiles,5,600,3000,315.0,Debit Card,2.0,158314.0,New Delhi,0,3315.0,0.10496501166277908
Bags,Mens,2,509,1018,106.89,Cash,5.0,34397.0,Gurgaon,0,1124.89,0.10489695780176644
Bags,Women,4,1098,4392,115.29,Mobile Payments,1.0,131128.0,Bangalore,1,4507.29,0.02624402458456636
Clothing,Mens,5,745,3725,391.125,Debit Card,5.0,142832.0,Gurgaon,0,4116.125,0.10497181964573268
Bags,Women,3,1139,3417,119.595,Mobile Payments,1.0,55587.0,Chennai,1,3536.595,0.034989760093622
Electronics,Cameras,2,330,660,69.3,Mobile Payments,5.0,14623.0,Chennai,0,729.3,0.1048411497730711
Bags,Women,2,825,1650,433.125,Credit Card,1.0,77510.0,Ahmedabad,1,2083.125,0.26234100545124167
Clothing,Mens,3,133,399,41.895,Mobile Payments,3.0,109541.0,Chennai,0,440.895,0.10473750000000001
Clothing,Mens,1,1427,1427,149.835,Mobile Payments,3.0,151898.0,Hyderabad,0,1576.835,0.1049264705882353
Footwear,Kids,4,667,2668,280.14,Credit Card,4.0,158483.0,Mumbai,0,2948.14,0.10496065942300487
Clothing,Mens,4,1250,5000,525.0,Credit Card,2.0,38320.0,Bangalore,0,5525.0,0.10497900419916016
Bags,Women,4,985,3940,413.7,Credit Card,5.0,100456.0,New Delhi,0,4353.7,0.10497335701598579
Books,Fiction,5,420,2100,220.5,Debit Card,5.0,72391.0,Bangalore,0,2320.5,0.10495002379819134
Bags,Women,4,733,2932,307.86,Credit Card,5.0,51901.0,Gurgaon,0,3239.86,0.10496420047732698
Books,Fiction,3,555,1665,174.825,Mobile Payments,5.0,35813.0,Bangalore,0,1839.825,0.10493697478991595
Clothing,Women,5,1379,6895,434.385,Debit Card,1.0,83246.0,Vishakhapatnam,1,7329.385,0.06299086426914154
Clothing,Mens,1,295,295,30.975,Mobile Payments,3.0,44828.0,Kolkata,0,325.975,0.10464527027027028
Footwear,Women,2,1457,2914,305.97,Debit Card,5.0,49220.0,Ahmedabad,0,3219.9700000000003,0.10496397941680961
Bags,Women,4,1278,5112,134.19,Mobile Payments,1.0,73283.0,Vishakhapatnam,1,5246.19,0.026244866027772346
Clothing,Mens,1,1195,1195,125.475,Mobile Payments,4.0,113660.0,Pune,0,1320.475,0.10491220735785953
Bags,Mens,2,1450,2900,304.5,Debit Card,5.0,66375.0,Ahmedabad,0,3204.5,0.10496380558428128
Bags,Mens,4,843,3372,354.06,Debit Card,2.0,154554.0,Chennai,0,3726.06,0.10496887044174326
Clothing,Women,2,210,420,44.1,Mobile Payments,1.0,74986.0,Vishakhapatnam,0,464.1,0.10475059382422804
Bags,Mens,2,923,1846,193.83,Mobile Payments,5.0,102678.0,Kolkata,0,2039.83,0.10494315105576611
Footwear,Kids,3,957,2871,301.455,Credit Card,4.0,147462.0,Gurgaon,0,3172.455,0.10496344011142061
Clothing,Women,4,573,2292,300.825,Credit Card,1.0,118064.0,Pune,1,2592.825,0.13119276057566506
Clothing,Women,5,777,3885,407.925,Debit Card,3.0,82358.0,Ahmedabad,0,4292.925,0.10497297992794648
Clothing,Women,2,916,1832,192.36,Mobile Payments,5.0,107112.0,Mumbai,0,2024.3600000000001,0.10494271685761049
Clothing,Mens,4,569,2276,298.725,Credit Card,1.0,125388.0,Ahmedabad,1,2574.725,0.1311923583662714
Clothing,Women,5,262,1310,110.04,Mobile Payments,2.0,102969.0,Bangalore,1,1420.04,0.08393592677345538
Footwear,Women,2,1316,2632,552.72,Debit Card,1.0,124744.0,Mumbai,1,3184.7200000000003,0.20992024306874288
Books,Fiction,3,1220,3660,384.3,Credit Card,5.0,18110.0,Kolkata,0,4044.3,0.10497131931166348
Clothing,Women,5,1309,6545,687.225,Credit Card,5.0,100762.0,Kolkata,0,7232.225,0.10498395967002751
Footwear,Mens,2,1495,2990,313.95,Credit Card,3.0,33197.0,Ahmedabad,0,3303.95,0.10496489468405215
Bags,Women,3,933,2799,293.895,Credit Card,5.0,109455.0,Vishakhapatnam,0,3092.895,0.1049625
Clothing,Women,3,932,2796,293.58,Credit Card,5.0,40830.0,Chennai,0,3089.58,0.10496245977833392
Electronics,Mobiles,5,482,2410,50.61,Cash,1.0,23141.0,Kolkata,1,2460.61,0.020991289921194523
Footwear,Kids,2,1014,2028,212.94,Credit Card,4.0,129582.0,Hyderabad,0,2240.94,0.10494825036964021
Books,Academic,2,982,1964,206.22,Debit Card,2.0,68376.0,Hyderabad,0,2170.22,0.10494656488549618
Clothing,Mens,4,1397,5588,586.74,Debit Card,3.0,145867.0,Bangalore,0,6174.74,0.10498121309715512
Home and kitchen,Bath,2,658,1316,138.18,Mobile Payments,5.0,121357.0,Ahmedabad,0,1454.18,0.10492027334851936
Bags,Mens,5,893,4465,468.825,Credit Card,4.0,62392.0,Vishakhapatnam,0,4933.825,0.10497648902821316
Footwear,Kids,4,128,512,53.76,Mobile Payments,4.0,125184.0,Chennai,0,565.76,0.1047953216374269
Clothing,Women,5,969,4845,508.725,Debit Card,5.0,69102.0,Kolkata,0,5353.725,0.10497833264548082
Bags,Mens,3,1228,3684,386.82,Credit Card,2.0,105368.0,Ahmedabad,0,4070.82,0.10497150610583446
Bags,Mens,4,683,2732,286.86,Debit Card,5.0,76112.0,Hyderabad,0,3018.86,0.1049615806805708
Bags,Mens,3,909,2727,286.335,Debit Card,4.0,28298.0,Hyderabad,0,3013.335,0.10496151026392961
Home and kitchen,Tools,2,1409,2818,295.89,Credit Card,2.0,135044.0,Hyderabad,0,3113.89,0.10496275274920185
Clothing,Mens,2,500,1000,105.0,Mobile Payments,5.0,96702.0,Mumbai,0,1105.0,0.1048951048951049
Books,Academic,3,723,2169,227.745,Debit Card,5.0,108774.0,Pune,0,2396.745,0.10495161290322581
Footwear,Kids,2,430,860,90.3,Cash,2.0,93625.0,Pune,0,950.3,0.1048780487804878
Bags,Women,5,1481,7405,777.525,Debit Card,1.0,126644.0,New Delhi,0,8182.525,0.10498582230623818
Electronics,Personal Appliances,3,1049,3147,330.435,Credit Card,2.0,120370.0,Mumbai,0,3477.435,0.1049666454891995
Home and kitchen,Furnishing,5,760,3800,319.2,Debit Card,2.0,70367.0,Ahmedabad,1,4119.2,0.08397790055248619
Footwear,Kids,1,1422,1422,149.31,Mobile Payments,5.0,30371.0,Bangalore,0,1571.31,0.10492621222768798
Footwear,Mens,1,1060,1060,111.3,Mobile Payments,3.0,147415.0,New Delhi,0,1171.3,0.10490103675777568
Footwear,Women,5,947,4735,497.175,Debit Card,5.0,94916.0,Mumbai,0,5232.175,0.10497782939189189
Clothing,Women,5,373,1865,156.66,Mobile Payments,1.0,68816.0,New Delhi,1,2021.66,0.08395498392282957
Clothing,Mens,2,1351,2702,283.71,Credit Card,4.0,104505.0,Chennai,0,2985.71,0.10496115427302996
Clothing,Women,1,522,522,54.81,Mobile Payments,4.0,126201.0,New Delhi,0,576.81,0.10479923518164437
Footwear,Women,3,822,2466,258.93,Credit Card,5.0,92801.0,Vishakhapatnam,0,2724.93,0.1049574381840292
Home and kitchen,Tools,1,1226,1226,128.73,Mobile Payments,5.0,106460.0,Ahmedabad,0,1354.73,0.10491442542787285
Home and kitchen,Furnishing,4,881,3524,277.515,Debit Card,1.0,47889.0,Mumbai,1,3801.515,0.07872765957446808
Footwear,Mens,1,79,79,8.295,Mobile Payments,3.0,48847.0,Chennai,0,87.295,0.1036875
Electronics,Computers,2,1315,2630,276.15,Debit Card,5.0,62805.0,Ahmedabad,0,2906.15,0.10496009122006841
Footwear,Mens,2,835,1670,175.35,Mobile Payments,5.0,18195.0,Kolkata,0,1845.35,0.10493716337522441
Footwear,Women,5,1059,5295,555.975,Debit Card,5.0,133829.0,Vishakhapatnam,0,5850.975,0.10498017371601209
Books,Fiction,2,1304,2608,273.84,Credit Card,2.0,39823.0,Gurgaon,0,2881.84,0.10495975469528554
Home and kitchen,Bath,5,1476,7380,774.9,Debit Card,2.0,74101.0,New Delhi,0,8154.9,0.10498577428532718
