Month,product_category,Product_Subcategory,Quantity,Unit_Price,Price,Tax,Payment_mode,Store_type,Reviews,Income,city,Gender,Marital_status,Education_Level,Profession_Type,Return
January,Home and kitchen,Furnishing,2,904,1808,189.84,Mobile Payments,Flagship store,5.0,91872.0,Ahmedabad,M,0,Others,Self Employed,0
January,Books,Fiction,5,1224,6120,642.6,Credit Card,Flagship store,5.0,136061.0,Vishakhapatnam,M,1,Master,Self Employed,0
January,Footwear,Mens,3,989,2967,311.535,Credit Card,Flagship store,5.0,108993.0,Hyderabad,F,0,Master,Self Employed,0
January,Home and kitchen,Tools,2,1007,2014,211.47,Debit Card,MBR,3.0,30214.0,Chennai,M,1,Master,Salaried,0
January,Clothing,Women,3,1237,3711,389.655,Credit Card,Flagship store,4.0,100098.0,Kolkata,F,1,Master,Self Employed,0
January,Footwear,Kids,3,1025,3075,322.875,Debit Card,e-Shop,5.0,61508.0,New Delhi,F,1,Graduation,Others,0
January,Clothing,Mens,1,1236,1236,129.78,Mobile Payments,TeleShop,3.0,22187.0,Bangalore,M,1,Master,Salaried,0
January,Home and kitchen,Furnishing,5,237,1185,124.425,Mobile Payments,e-Shop,5.0,149785.0,Bangalore,M,1,PhD,Salaried,0
January,Footwear,Kids,3,1227,3681,386.505,Credit Card,Flagship store,4.0,102905.0,Bangalore,M,1,PhD,Self Employed,0
January,Footwear,Kids,3,1414,4242,445.41,Debit Card,MBR,4.0,58795.0,Bangalore,F,1,Master,Salaried,0
January,Clothing,Women,4,793,3172,333.06,Debit Card,TeleShop,5.0,74808.0,Bangalore,F,0,PhD,Self Employed,0
January,Electronics,Computers,3,1198,3594,377.37,Credit Card,MBR,4.0,14995.0,Vishakhapatnam,F,0,PhD,Self Employed,0
January,Footwear,Mens,4,1089,4356,457.38,Credit Card,e-Shop,5.0,102474.0,Bangalore,M,0,PhD,Others,0
January,Bags,Women,1,275,275,28.875,Mobile Payments,TeleShop,5.0,74929.0,Kolkata,M,0,PhD,Others,0
January,Clothing,Mens,3,820,2460,258.3,Credit Card,e-Shop,3.0,110636.0,Chennai,F,0,PhD,Salaried,0
January,Home and kitchen,Furnishing,2,1495,2990,313.95,Debit Card,MBR,4.0,22227.0,Gurgaon,F,1,Graduation,Self Employed,0
January,Clothing,Women,1,1442,1442,151.41,Mobile Payments,e-Shop,5.0,28755.0,Chennai,M,1,Master,Others,0
January,Bags,Women,2,1381,2762,290.01,Debit Card,TeleShop,5.0,122115.0,Ahmedabad,M,0,Master,Salaried,0
January,Footwear,Kids,4,718,2872,301.56,Debit Card,e-Shop,1.0,78764.0,Gurgaon,M,0,Graduation,Others,0
January,Home and kitchen,Tools,5,1190,5950,624.75,Credit Card,e-Shop,5.0,38730.0,Vishakhapatnam,F,0,Basic,Self Employed,0
January,Footwear,Women,1,88,88,9.24,Mobile Payments,e-Shop,5.0,85643.0,Mumbai,M,0,Graduation,Self Employed,0
January,Electronics,Computers,2,1335,2670,280.35,Debit Card,e-Shop,2.0,123129.0,Ahmedabad,F,0,Basic,Salaried,0
January,Clothing,Mens,4,1335,5340,560.7,Debit Card,e-Shop,4.0,98343.0,Mumbai,M,1,Graduation,Others,0
January,Books,DIY,5,385,1925,80.85,Cash,Flagship store,1.0,134941.0,Ahmedabad,F,0,Master,Others,1
January,Books,DIY,2,1221,2442,256.41,Credit Card,e-Shop,5.0,107038.0,Mumbai,F,0,Master,Others,0
January,Home and kitchen,Furnishing,5,983,4915,516.075,Debit Card,TeleShop,4.0,107132.0,Gurgaon,M,0,Master,Salaried,0
January,Home and kitchen,Tools,3,1437,4311,452.655,Debit Card,Flagship store,4.0,59932.0,New Delhi,M,0,PhD,Others,0
January,Electronics,Mobiles,1,892,892,374.64,Debit Card,e-Shop,2.0,21759.0,Mumbai,M,0,PhD,Others,1
January,Home and kitchen,Tools,5,1343,6715,705.075,Credit Card,e-Shop,4.0,152024.0,Pune,F,1,PhD,Self Employed,0
January,Bags,Women,5,1351,6755,709.275,Debit Card,TeleShop,3.0,83078.0,Mumbai,F,1,PhD,Self Employed,0
January,Bags,Mens,4,274,1096,115.08,Mobile Payments,Flagship store,3.0,89274.0,Mumbai,F,0,PhD,Others,0
January,Footwear,Mens,3,1134,3402,357.21,Debit Card,MBR,5.0,32711.0,Kolkata,M,0,PhD,Others,0
January,Bags,Mens,2,801,1602,168.21,Mobile Payments,Flagship store,4.0,145638.0,Kolkata,F,1,PhD,Self Employed,0
January,Clothing,Women,5,580,2900,304.5,Debit Card,e-Shop,4.0,37777.0,New Delhi,M,0,PhD,Salaried,0
January,Clothing,Mens,2,500,1000,105.0,Mobile Payments,e-Shop,4.0,89962.0,Kolkata,F,1,PhD,Salaried,0
January,Footwear,Mens,1,815,815,85.575,Mobile Payments,e-Shop,4.0,110157.0,Pune,F,0,PhD,Others,0
January,Electronics,Mobiles,5,1208,6040,634.2,Credit Card,TeleShop,1.0,61966.0,Pune,M,0,Master,Salaried,1
January,Home and kitchen,Furnishing,5,1235,6175,648.375,Credit Card,e-Shop,3.0,64262.0,Pune,M,0,Others,Salaried,1
January,Electronics,Computers,4,1126,4504,472.92,Debit Card,TeleShop,5.0,30042.0,Bangalore,M,0,Others,Salaried,0
January,Home and kitchen,Kitchen,1,439,439,46.095,Mobile Payments,TeleShop,5.0,65369.0,Hyderabad,M,0,Basic,Self Employed,0
January,Books,DIY,5,1089,5445,343.035,Debit Card,Flagship store,3.0,113643.0,Hyderabad,M,0,PhD,Others,1
January,Home and kitchen,Kitchen,5,402,2010,168.84,Cash,MBR,1.0,140076.0,Chennai,M,1,Others,Others,1
January,Home and kitchen,Kitchen,2,1383,2766,290.43,Credit Card,Flagship store,5.0,90068.0,Ahmedabad,M,0,PhD,Others,0
January,Clothing,Women,4,273,1092,114.66,Mobile Payments,TeleShop,5.0,125967.0,Bangalore,F,0,PhD,Salaried,0
January,Footwear,Women,5,1033,5165,542.325,Credit Card,e-Shop,5.0,128336.0,Bangalore,M,0,PhD,Self Employed,0
January,Clothing,Women,1,889,889,93.345,Mobile Payments,e-Shop,3.0,142164.0,Ahmedabad,F,1,PhD,Salaried,0
January,Clothing,Women,5,433,2165,227.325,Debit Card,TeleShop,5.0,147946.0,New Delhi,M,1,Master,Self Employed,0
January,Footwear,Kids,4,811,3244,340.62,Debit Card,Flagship store,4.0,51061.0,Pune,F,0,Basic,Self Employed,0
January,Footwear,Women,3,1284,3852,404.46,Debit Card,TeleShop,5.0,126644.0,New Delhi,M,1,Basic,Salaried,0
January,Footwear,Mens,3,285,855,89.775,Cash,Flagship store,5.0,80882.0,Gurgaon,M,1,PhD,Self Employed,0
January,Clothing,Mens,3,1061,3183,334.215,Debit Card,Flagship store,4.0,117430.0,Chennai,M,1,Basic,Others,0
January,Books,DIY,2,1330,2660,279.3,Credit Card,TeleShop,2.0,133053.0,Kolkata,F,0,PhD,Others,0
January,Electronics,Mobiles,3,1057,3171,332.955,Debit Card,Flagship store,5.0,8185.0,Gurgaon,M,1,Basic,Salaried,0
January,Footwear,Kids,3,1202,3606,378.63,Credit Card,e-Shop,4.0,99319.0,Gurgaon,F,1,PhD,Others,0
January,Footwear,Kids,5,268,1340,140.7,Mobile Payments,TeleShop,2.0,40625.0,Chennai,F,1,Others,Others,0
January,Books,DIY,2,1014,2028,212.94,Debit Card,e-Shop,3.0,120137.0,Vishakhapatnam,M,0,PhD,Self Employed,0
January,Clothing,Women,2,288,576,60.48,Mobile Payments,Flagship store,5.0,132911.0,New Delhi,M,1,Master,Salaried,0
January,Books,DIY,2,188,376,39.48,Mobile Payments,TeleShop,5.0,35008.0,Mumbai,M,0,Basic,Salaried,0
January,Footwear,Women,3,762,2286,240.03,Credit Card,e-Shop,3.0,101010.0,Vishakhapatnam,F,0,Master,Others,0
January,Footwear,Kids,5,920,4600,96.6,Mobile Payments,e-Shop,1.0,115127.0,New Delhi,M,1,Others,Self Employed,1
January,Bags,Mens,2,1325,2650,278.25,Credit Card,e-Shop,5.0,111532.0,New Delhi,M,1,Graduation,Salaried,0
January,Clothing,Mens,1,173,173,18.165,Cash,Flagship store,4.0,148687.0,Mumbai,M,0,Basic,Salaried,0
January,Clothing,Mens,4,512,2048,107.52,Mobile Payments,e-Shop,3.0,118618.0,Chennai,F,0,Basic,Others,1
January,Home and kitchen,Bath,5,615,3075,322.875,Debit Card,MBR,3.0,92015.0,Ahmedabad,F,0,Others,Salaried,0
January,Home and kitchen,Furnishing,3,1388,4164,437.22,Credit Card,MBR,5.0,146726.0,Vishakhapatnam,F,1,Basic,Self Employed,0
January,Home and kitchen,Bath,5,605,3025,317.625,Debit Card,e-Shop,2.0,80241.0,Gurgaon,M,0,Others,Self Employed,0
January,Home and kitchen,Bath,3,847,2541,266.805,Debit Card,e-Shop,1.0,77299.0,Chennai,M,0,Others,Self Employed,0
January,Home and kitchen,Tools,4,765,3060,321.3,Credit Card,Flagship store,3.0,50763.0,Gurgaon,F,1,Others,Others,0
January,Clothing,Women,1,707,707,74.235,Mobile Payments,TeleShop,5.0,121880.0,Bangalore,M,0,Others,Salaried,0
January,Bags,Women,3,1175,3525,370.125,Debit Card,MBR,5.0,129552.0,Pune,F,1,PhD,Salaried,0
January,Footwear,Kids,3,1018,3054,320.67,Debit Card,MBR,5.0,46171.0,Hyderabad,F,0,Others,Self Employed,0
January,Home and kitchen,Kitchen,5,642,3210,337.05,Debit Card,e-Shop,5.0,149633.0,Pune,M,0,Graduation,Others,0
January,Home and kitchen,Tools,1,900,900,94.5,Mobile Payments,TeleShop,4.0,143684.0,Mumbai,M,0,Others,Self Employed,0
January,Electronics,Personal Appliances,5,1184,5920,621.6,Debit Card,MBR,2.0,128927.0,Mumbai,M,0,Others,Self Employed,0
January,Books,Academic,3,793,2379,249.795,Debit Card,e-Shop,3.0,86854.0,Kolkata,F,0,Others,Others,0
January,Clothing,Mens,3,1410,4230,444.15,Credit Card,MBR,5.0,42991.0,Ahmedabad,M,0,Others,Salaried,0
January,Electronics,Cameras,5,361,1805,189.525,Cash,MBR,5.0,83786.0,Vishakhapatnam,M,0,Graduation,Others,0
January,Electronics,Mobiles,5,600,3000,315.0,Debit Card,Flagship store,2.0,158314.0,New Delhi,F,0,Others,Self Employed,0
January,Bags,Mens,2,509,1018,106.89,Cash,Flagship store,5.0,34397.0,Gurgaon,M,1,Others,Others,0
January,Bags,Women,4,1098,4392,115.29,Mobile Payments,e-Shop,1.0,131128.0,Bangalore,M,1,Others,Self Employed,1
January,Clothing,Mens,5,745,3725,391.125,Debit Card,MBR,5.0,142832.0,Gurgaon,M,1,Others,Others,0
January,Bags,Women,3,1139,3417,119.595,Mobile Payments,e-Shop,1.0,55587.0,Chennai,F,1,Master,Salaried,1
January,Electronics,Cameras,2,330,660,69.3,Mobile Payments,e-Shop,5.0,14623.0,Chennai,M,1,Others,Self Employed,0
January,Bags,Women,2,825,1650,433.125,Credit Card,TeleShop,1.0,77510.0,Ahmedabad,F,0,Others,Self Employed,1
January,Clothing,Mens,3,133,399,41.895,Mobile Payments,e-Shop,3.0,109541.0,Chennai,M,1,Others,Others,0
January,Clothing,Mens,1,1427,1427,149.835,Mobile Payments,Flagship store,3.0,151898.0,Hyderabad,M,1,Others,Salaried,0
January,Footwear,Kids,4,667,2668,280.14,Credit Card,TeleShop,4.0,158483.0,Mumbai,F,1,Basic,Self Employed,0
January,Clothing,Mens,4,1250,5000,525.0,Credit Card,e-Shop,2.0,38320.0,Bangalore,F,1,Master,Others,0
January,Bags,Women,4,985,3940,413.7,Credit Card,e-Shop,5.0,100456.0,New Delhi,F,1,Master,Self Employed,0
January,Books,Fiction,5,420,2100,220.5,Debit Card,MBR,5.0,72391.0,Bangalore,M,1,Master,Others,0
January,Bags,Women,4,733,2932,307.86,Credit Card,MBR,5.0,51901.0,Gurgaon,M,0,Graduation,Salaried,0
January,Books,Fiction,3,555,1665,174.825,Mobile Payments,TeleShop,5.0,35813.0,Bangalore,F,0,Others,Others,0
January,Clothing,Women,5,1379,6895,434.385,Debit Card,e-Shop,1.0,83246.0,Vishakhapatnam,F,1,Master,Salaried,1
January,Clothing,Mens,1,295,295,30.975,Mobile Payments,e-Shop,3.0,44828.0,Kolkata,M,0,Master,Salaried,0
January,Footwear,Women,2,1457,2914,305.97,Debit Card,Flagship store,5.0,49220.0,Ahmedabad,M,1,Master,Others,0
January,Bags,Women,4,1278,5112,134.19,Mobile Payments,e-Shop,1.0,73283.0,Vishakhapatnam,F,0,Master,Salaried,1
January,Clothing,Mens,1,1195,1195,125.475,Mobile Payments,e-Shop,4.0,113660.0,Pune,F,0,Graduation,Others,0
January,Bags,Mens,2,1450,2900,304.5,Debit Card,MBR,5.0,66375.0,Ahmedabad,M,0,Master,Self Employed,0
January,Bags,Mens,4,843,3372,354.06,Debit Card,MBR,2.0,154554.0,Chennai,M,1,Graduation,Others,0
January,Clothing,Women,2,210,420,44.1,Mobile Payments,e-Shop,1.0,74986.0,Vishakhapatnam,M,1,Master,Salaried,0
January,Bags,Mens,2,923,1846,193.83,Mobile Payments,e-Shop,5.0,102678.0,Kolkata,F,1,Master,Others,0
January,Footwear,Kids,3,957,2871,301.455,Credit Card,Flagship store,4.0,147462.0,Gurgaon,F,1,Master,Salaried,0
January,Clothing,Women,4,573,2292,300.825,Credit Card,MBR,1.0,118064.0,Pune,F,1,Master,Self Employed,1
January,Clothing,Women,5,777,3885,407.925,Debit Card,e-Shop,3.0,82358.0,Ahmedabad,M,1,Basic,Others,0
January,Clothing,Women,2,916,1832,192.36,Mobile Payments,e-Shop,5.0,107112.0,Mumbai,M,0,Graduation,Salaried,0
January,Clothing,Mens,4,569,2276,298.725,Credit Card,MBR,1.0,125388.0,Ahmedabad,F,1,Master,Self Employed,1
January,Clothing,Women,5,262,1310,110.04,Mobile Payments,TeleShop,2.0,102969.0,Bangalore,M,0,Graduation,Self Employed,1
January,Footwear,Women,2,1316,2632,552.72,Debit Card,e-Shop,1.0,124744.0,Mumbai,M,0,Graduation,Self Employed,1
January,Books,Fiction,3,1220,3660,384.3,Credit Card,e-Shop,5.0,18110.0,Kolkata,M,0,Graduation,Others,0
January,Clothing,Women,5,1309,6545,687.225,Credit Card,MBR,5.0,100762.0,Kolkata,M,1,Master,Others,0
January,Footwear,Mens,2,1495,2990,313.95,Credit Card,MBR,3.0,33197.0,Ahmedabad,F,1,Master,Salaried,0
January,Bags,Women,3,933,2799,293.895,Credit Card,Flagship store,5.0,109455.0,Vishakhapatnam,M,0,PhD,Salaried,0
January,Clothing,Women,3,932,2796,293.58,Credit Card,Flagship store,5.0,40830.0,Chennai,M,0,Master,Self Employed,0
January,Electronics,Mobiles,5,482,2410,50.61,Cash,MBR,1.0,23141.0,Kolkata,F,0,PhD,Salaried,1
January,Footwear,Kids,2,1014,2028,212.94,Credit Card,e-Shop,4.0,129582.0,Hyderabad,F,1,Master,Self Employed,0
January,Books,Academic,2,982,1964,206.22,Debit Card,MBR,2.0,68376.0,Hyderabad,M,1,Basic,Salaried,0
January,Clothing,Mens,4,1397,5588,586.74,Debit Card,Flagship store,3.0,145867.0,Bangalore,M,0,PhD,Salaried,0
January,Home and kitchen,Bath,2,658,1316,138.18,Mobile Payments,e-Shop,5.0,121357.0,Ahmedabad,F,0,Graduation,Self Employed,0
January,Bags,Mens,5,893,4465,468.825,Credit Card,TeleShop,4.0,62392.0,Vishakhapatnam,M,0,PhD,Salaried,0
January,Footwear,Kids,4,128,512,53.76,Mobile Payments,TeleShop,4.0,125184.0,Chennai,M,0,Graduation,Self Employed,0
January,Clothing,Women,5,969,4845,508.725,Debit Card,e-Shop,5.0,69102.0,Kolkata,M,0,Basic,Salaried,0
January,Bags,Mens,3,1228,3684,386.82,Credit Card,TeleShop,2.0,105368.0,Ahmedabad,F,1,Basic,Others,0
January,Bags,Mens,4,683,2732,286.86,Debit Card,Flagship store,5.0,76112.0,Hyderabad,M,0,Basic,Others,0
